1, 1 -1.19 3.1 0.9 0. 0. 0.;
2, 2 0. 3.1 0.9 0. 0. 0.;
3, 3 1.19 3.1 0.9 0. 0. 0.;
4, 4 1.8 2.21 0.9 0. -0.25 0.;
5, 5 1.8 1.13 0.9 0. -0.25 0.;
6, 6 1.8 0. 0.9 0. -0.25 0.;
7, 7 1.8 -1.13 0.9 0. -0.25 0.;
8, 8 1.8 -2.21 0.9 0. -0.25 0.;
9, 9 1.19 -3.1 0.9 0. 0.5 0.;
10, 10 0 -3.1 0.9 0. 0.5 0.;
11, 11 -1.19 -3.1 0.9 0. 0.5 0.;
12, 12 -1.8 -2.21 0.9 0. 0.25 0.;
13, 13 -1.8 -1.13 0.9 0. 0.25 0.;
14, 14 -1.8 0. 0.9 0. 0.25 0.;
15, 15 -1.8 1.13 0.9 0. 0.25 0.;
16, 16 -1.8 2.21 0.9 0. 0.25 0.;
17, 17 -2. 3.1 0. 0. 0. 0.;
18, 18 -0.85 3.1 0. 0. 0. 0.;
19, 19 0.85 3.1 0. 0. 0. 0.;
20, 20 2. 3.1 0. 0. 0. 0.;
21, 21 0. -1.92 1.5 0.25 0. 0.;
22, 22 0. -0.64 1.5 0.25 0. 0.;
23, 23 0. 1.92 1.5 0.25 0. 0.;
24, 24 0. 0.64 1.5 0.25 0. 0.;
